Lasso参数,最优迭代次数,最优测试集MES,测试集MES均值
10.0,12.0,1.9167874955288777,2.61216841251642
5.0,12.0,2.2533157295023845,2.6173860319095312
2.0,12.0,2.2237878503464703,2.6158996062610536
1.0,12.0,2.1547271398999985,2.625889479603284
0.5,12.0,2.1537571000570574,2.609832702193575
0.1,12.0,2.19420232223844,2.634249908285951
0.05,12.0,2.3598754822388828,2.6136091284305025
0.01,12.0,1.9592832638909194,2.616425849559518
0.02,12.0,2.1782991621913013,2.627149313241235
0.005,12.0,2.3685440161969926,2.617519433655432
