LWLR参数,最优测试集MES,测试集MES均值
2.0,1.8359039937223147,2.2480169985361687
1.0,1.887808642950486,2.3939724099635518
0.5,1.7288925227857912,2.3106457553383235
0.2,3.1129053602227112,16410.139004815974
0.1,1.3569100451547254e+85,4.9337322818765114e+131
