岭回归参数,最优测试集MES,测试集MES均值
10.0,2.2110966293548993,2.482952317301946
5.0,1.856735243036024,2.4642862445624107
2.0,1.8901619993006595,2.451559006244149
1.0,1.9670328110017772,2.466136342426479
0.5,1.9991111851266279,2.455032047357478
0.1,1.9622110520286329,2.4547449323137034
0.05,1.9817820885872854,2.4574524401695887
0.01,1.9971982557207348,2.4710146408162497
0.02,1.9725552100814214,2.4526109077162155
0.005,2.1897809646695503,2.4652988830463687
