Lasso参数,最优迭代次数,最优测试集MES,测试集MES均值
10.0,163.0,2.0878581867383432,2.4614030104711278
5.0,167.0,2.094876352332869,2.4580709551980107
2.0,169.0,2.1267599304006586,2.4621051184529286
1.0,164.0,2.0126912027832433,2.4613990250234083
0.5,161.0,1.9623215770061628,2.480086448159885
0.1,167.0,2.268276847910453,2.4564756010414266
0.05,168.0,1.979067537454113,2.465068005693364
0.01,165.0,2.216568954459084,2.4706652023795592
